appid,title,group,selection_reason
1783360,Meg's Monster,core,Short story-driven turn-based indie JRPG
1677310,In Stars And Time,core,Story-rich turn-based RPG with distinctive visual identity
1320140,Small Saga,core,Tightly-focused no-grinding strategic turn-based RPG
854940,Ikenfell,core,Story-rich tactical RPG with distinctive combat mechanics
510540,Long Gone Days,core,Narrative-focused turn-based indie RPG
420530,OneShot,positioning,Short highly distinctive narrative indie experience
206440,To the Moon,positioning,Short story-focused low-price indie experience
337340,Finding Paradise,positioning,Story-focused emotional indie experience
1182620,Impostor Factory,positioning,Short narrative-driven distinctive indie experience
1086940,Baldur's Gate 3,benchmark,Large premium RPG benchmark
1245620,ELDEN RING,benchmark,Large premium RPG benchmark
2379780,Balatro,contrast,Mechanics-led roguelike deckbuilder centered on synergy and replay value
1794680,Vampire Survivors,contrast,Gameplay-led action roguelite centered on progression and repeated runs
590380,Into the Breach,contrast,Compact turn-based tactics game centered on strategic depth and replay value
460950,Katana ZERO,contrast,Short action indie centered on fast combat and distinctive presentation
