cluster_id,cluster_probability,title,group,voted_up,playtime_at_review_hours,detected_language,analysis_text
1,1.0,Small Saga,core,True,7.083333333333333,en,"Fair warning: achievements are listed, but not implemented in the game. If you care about those, be warned. That being said, I truly think you should play this game. It has a well written story, supported by the gameplay in clever ways. I never struggled, Small Saga is not a hard game, but it doesn't need to be. Cool story, cool mechanics, what else can I say?"
1,1.0,Small Saga,core,True,7.133333333333334,en,"Small Saga is a game I'm quite torn on. While there are many aspects of the experience I absolutely adore, there is a large element to this game which I feel drags the experience down, making it not an immediate recommend I know it should be. To get to the best part of the game over with: presentation. The visuals are absolutely breathtaking and I found myself entranced playing through this game. Every character had personality oozing from their design alone and each boss you encounter feels lovingly thought of. [spoiler]I really felt this way about the Yellow and White Gods you see in the game. There is a sense of scale each of them have which does make you feel how daunting these 'Gods' are to our characters.[/spoiler] The visuals, alone, are not solely what carries this game. The music brought me into the world. Where many games I find enjoyable, but something I'm not going to think back on, Small Saga's soundtrack heightens the overall experience. The emotions are brought to another level when you play through, aiding to the story in more ways than you realize. From the lows to the highs, and the bosses through, the soundtrack assists in making a memorable presentation in the time you put in. The story is nothing amazing, but it's quite serviceable enough. The writing, overall, is enough to get you through. Yet I did find myself wanting more in. I would have loved more quests which allow you to learn more about the characters in the game. More people to interact with. I just found myself wanting more. The lore you do find in the books just feels a little clunky to me, making me just wish there was another manner to explore this world I'm shown. That said, the writing was enough to make me want to see more of this game. Now, the gameplay, which is where my experience takes a dip. It feels like the game focused on every other issue, yet the gameplay and everything surrounding it took a step back. Lacking is a word that immediately comes to mind, but even that might not properly do it justice. Despite the presentation and writing which all kept me coming in, the mechanics in the game was pushing me away. The game felt like it needed a vehicle to have their game, and made a passable RPG experience in order to do so. What is here was clearly given enough time to make it not completely arbitrary, yet not delved too deep into and allowing for a more fleshed out playthrough. For $20, this game is on the edge for me. Everything truly is incredible for this game, yet the game mechanics bring it down quite a bit for me. It takes what could easily have been a homerun and makes me more on the fence. Yet, if the game goes on sale at all, I would highly recommend picking this game up. Despite my feelings on the gameplay, Small Saga clearly had passion put behind it when it comes to presentation. And I think, if you can get past the mostly average mechanics, you do have a beautiful game awaiting you on the otherside."
1,1.0,Small Saga,core,False,9.05,en,"Small Saga was pretty mediocre. There are some pretty cute moments where I enjoyed the characters and how they reacted to the events unfolding. However, the overall story operates at so much of a breakneck pace that it makes character development incredibly jarring; characters will flip motivation on a dime just to railroad the main plot. In the span of ~6 hours, you [spoiler] help a child run away from home, start a prison break which leads to overthrowing an authoritarian town and installing a new leader, start a revolution against the monarchy, overthrow a slaver, and help a person reconcile their past[/spoiler]. The game honestly tries to do too much too fast, which makes transitioning between main story beats turbulent. This results in characters not realistically offering pushback on others or having instantaneous changes of heart. Simultaneously, new ideas and information on people’s past are constantly introduced, but never meaningfully utilized or elaborated on. Many of the main story conflicts are resolved off screen and are only barely mentioned being resolved in a few sentences. A few characters are particularly loathsome with cringy dialogue in the form of forced memes. There are also several references to memes that were topical at the time. Constant attempts at humor are made but they mostly fall flat. The story takes up the vast majority of the game with some light amount of boss combat near the climax of each plot point. The combat is extremely vapid to the point it feels like a fantasy story masquerading as an RPG. There aren’t any meaningful decisions to make in terms of building character skills or gear. In fact, the game has several skills that increase damage to different types of enemies that either appear in only 2 combats or only in one chapter. I never felt in danger during combat and it boiled down to spamming damage abilities with no thought. It is very dissonant to be a meek rodent trying to rise up against larger creatures while combat is never dangerous. The final boss of the game was doing attacks that did 2 damage to me. There is a lack of polish that hampers the storytelling experience. Many important story moments had no music or ambient sound that made reading the dialogue emotionally hollow. Nearly every cutscene in the game used fades to black to hide actions being performed, items being placed, etc. There are also many incredibly long walkways between story areas that don’t serve any purpose to gameplay or storytelling. They don’t build atmosphere and just pad playtime as you meander through empty halls in dead silence. Overall, I found Small Saga to be entertaining enough to want to see the game through. The game was gifted to me and I think if I had spent the $15 myself, I would be more disappointed. For that reason, I can’t really recommend this game to others for its price. The plot is too hasty and needs to take more time so that many of the introduced threads are not hand waved away."
2,1.0,ELDEN RING,benchmark,True,489.98333333333335,en,"I ♥♥♥♥♥♥♥ love elden ring, Best game of my life and ever."
2,1.0,ELDEN RING,benchmark,True,166.08333333333334,en,"Praise the moon! Praise the message! ENG / CZ The Elden Ring, a game where you can have as much fun as you absolutely want. A game with so many options of build, from bullying enemies with baseball bat, to archmage where you bully them with one spell. A game so perfect that you can kill 200 hours and yet have so much fun, if it's too easy for you go play the new game +7 and prepare for your anus to be demolished more than many porn actresses. This game of course comes with beatiful graphics and absolutely magnificent sounds and soundtrack itself, if it's not enough, you can play The Shadow of Erdtree dlc where you get bullied for many and many hours. This is Elden Ring, a game where your role is the victim. Elden ring, hra kde se budeš bavit jak jen moc budeš chtít. Hra s tolika možnými Buildy, od šikanování protivníků s basebolkou po arcimága který bude oponenty týrat s jedním kouzlem. Hra tak perfektní kde můžeš zabít 200 hodin svého času a i tak tě to bude bavit dál, a jestli je to pro tebe jednoduché, zapni si new game +7 a připrav svůj konečník na větší demolici než většina porno hereček. Tato hra samozřejmě přichází s nádhernou grafikou a naprosto úžasnými zvuky či hudbou samotnou, jestli ti to nestačí, můžeš si stále zahrát The Shadow of Erdtree dlc, kde budeš šikanován na mnoha a mnoha dalších hodin. Toto je Elden Ring, hra ve které tvá role je být oběť. Try fingers, but hole. Praise the message!"
2,1.0,ELDEN RING,benchmark,False,2010.55,en,"A short review of Elden Ring (Shadow of the Erdtree DLC included) Pros: - Simple controls and good playability. - Music and sounds are generally great. - Quite enjoyable single player campaign. - Graphics are good in most areas. Some are rather ugly or even disgusting, but this might be expected from a horror RPG. Cons: - Outdated combat system copied from earlier games without much revision. Every major flaw that existed in game mechanics over 17 years ago are still present in Elden Ring. - Game consists mostly of combat with very little other RPG elements. This might not be a bad thing if the combat system was better. - Worst co-op game of all time. Very little options and PVP cannot be disabled. - No real reason to play this more than once. The world is always the same, and you can do everything that's worth doing with just one character."
2,1.0,ELDEN RING,benchmark,False,75.08333333333333,en,"I have played Elden Ring for 73 Hours over the last, 3 years or so. I really like the game, but it simply isn't for me. I have restarted the game on a new character three times now, and am constantly failing at the games leveling system. I play through, wreck havoc on bosses, and more, but eventually, I hit the mid-late game area's and I'm ♥♥♥♥♥♥. Not because the enemies are tough, which they are, but because I'm kinda under leveled. Throughout the game, you are given hundreds of really, really ♥♥♥♥♥♥♥ cool weaponry. And during this entire process, it feels like you are expected to pick one, and stick with it for the entire game. That isn't really how I like to play RPG's. I love my Claymore sure, but I want to try out other weapons on bosses, different builds, constantly. And this game makes it very hard to do that. I always end up with incredibly evenly spread out stats, because I wanted to try out a certain weapon effectively, and it blisters my supposed build. Bosses begin to take upwards of 20-30 minutes to kill. It, becomes a slog. So I put down the game that year. And I pick it up 8 months later to continue this cycle. Every time I play again, it feels fresh, my build, though ♥♥♥♥♥♥, feels somewhat fresh again. And then it dulls, and I drop it again. At this point, I'm just going to mod it. I love this game, but its progression isn't for me."
2,1.0,ELDEN RING,benchmark,False,184.58333333333334,en,"Elden Ring on PC does not natively support PlayStation button prompts, what a joke of a game"
3,1.0,In Stars And Time,core,True,25.416666666666668,en,"""I DIDN'T NEED TO REDO ALL OF THAT?????"" and ""♥♥♥♥♥♥♥♥ NOW I GOTTA DO THIS ALL AGAIN"" were common phrases I said. Still peak"
3,1.0,In Stars And Time,core,True,49.766666666666666,en,Peak game Don't spoil yourself Just play it
